target,source,targ_word,src_word,alternatives,analogy_type
atom,solar system,nucleus,sun,,science
atom,solar system,electron,planet,,science
atom,solar system,charge,mass,,science
atom,solar system,attracts,attracts,,science
atom,solar system,revolves,revolves,,science
atom,solar system,electromagnetism,gravity,,science
heat transfer,water flow,transfers,flows,,science
heat transfer,water flow,temperature,pressure,,science
heat transfer,water flow,burner,water tower,,science
heat transfer,water flow,kettle,bucket,,science
heat transfer,water flow,heating,filling,,science
heat transfer,water flow,cooling,emptying,,science
heat transfer,water flow,thermodynamics,hydrodynamics,,science
sounds,waves,wall,shore,,science
sounds,waves,echoes,reflects,,science
sounds,waves,air,water,,science
sounds,waves,insulation,breakwater,,science
sounds,waves,loud,rough,,science
sounds,waves,quiet,calm,,science
sounds,waves,vibrating,crashing,,science
respiration,combustion,animal,fire,,science
respiration,combustion,food,fuel,,science
respiration,combustion,breathing,burning,,science
respiration,combustion,living,hot,,science
respiration,combustion,vigorous,intense,,science
respiration,combustion,oxygen,oxygen,,science
respiration,combustion,carbon dioxide,carbon dioxide,,science
light,sound,red,low,,science
light,sound,violet,high,,science
light,sound,reflects,echoes,,science
light,sound,bright,loud,,science
light,sound,dim,quiet,,science
light,sound,lens,horn,,science
planet,projectile,orbit,trajectory,,science
planet,projectile,sun,earth,,science
planet,projectile,elliptical,parabolic,,science
planet,projectile,space,air,,science
planet,projectile,gravity,gravity,,science
planet,projectile,attracts,attracts,,science
natural selection,artificial selection,species,breeds,,science
natural selection,artificial selection,competition,selection,,science
natural selection,artificial selection,adaptation,conformance,,science
natural selection,artificial selection,natural,artificial,,science
natural selection,artificial selection,fitness,popularity,,science
natural selection,artificial selection,mating,breeding,,science
natural selection,artificial selection,wild,domesticated,,science
gas molecules,billiard balls,molecules,balls,,science
gas molecules,billiard balls,gas,billiards,,science
gas molecules,billiard balls,temperature,speed,,science
gas molecules,billiard balls,container,table,,science
gas molecules,billiard balls,pressing,bouncing,,science
gas molecules,billiard balls,moving,moving,,science
gas molecules,billiard balls,cold,slow,,science
gas molecules,billiard balls,hot,fast,,science
mind,computer,thinking,processing,,science
mind,computer,forgetting,erasing,,science
mind,computer,memorize,write,,science
mind,computer,remember,read,,science
mind,computer,memory,memory,,science
mind,computer,muscles,outputs,,science
mind,computer,senses,inputs,,science
mind,computer,mistake,bug,,science
bacterial mutation,slot machine,bacteria,slot machines,,science
bacterial mutation,slot machine,genes,reels,,science
bacterial mutation,slot machine,mutating,spinning,,science
bacterial mutation,slot machine,reproducing,winning,,science
bacterial mutation,slot machine,dying,losing,,science
argument,war,debater,soldier,,metaphor
argument,war,refute,destroy,,metaphor
argument,war,arguing,fighting,,metaphor
argument,war,acceptance,defeat,,metaphor
argument,war,criticizes,attacks,,metaphor
argument,war,logic,weapon,,metaphor
accepting a belief,buying an item,believer,buyer,,metaphor
accepting a belief,buying an item,belief,merchandise,,metaphor
accepting a belief,buying an item,accepting,buying,,metaphor
accepting a belief,buying an item,advocating,selling,,metaphor
accepting a belief,buying an item,rejecting,returning,,metaphor
accepting a belief,buying an item,true,valuable,,metaphor
accepting a belief,buying an item,false,worthless,,metaphor
reasons for a theory,grounds for a building,reasons,foundations,,metaphor
reasons for a theory,grounds for a building,theories,buildings,,metaphor
reasons for a theory,grounds for a building,confirming,supporting,,metaphor
reasons for a theory,grounds for a building,rational,solid,,metaphor
reasons for a theory,grounds for a building,dubious,weak,,metaphor
reasons for a theory,grounds for a building,flaw,crack,,metaphor
difficulties,impediments to travel,difficulties,obstructions,,metaphor
difficulties,impediments to travel,goal,destination,,metaphor
difficulties,impediments to travel,plan,route,,metaphor
difficulties,impediments to travel,person,traveller,,metaphor
difficulties,impediments to travel,problem solving,travelling,,metaphor
