,accuracy/valid,accuracy/test,accuracy/full,data,validation_loss,validation_data,model,mode,template_type
0,0.3768844221105528,0.4074485825458588,0.4044044044044044,bats,653.9870203718355,semeval2012,roberta-large,average_no_mask,b
1,0.2432432432432432,0.3293768545994065,0.320855614973262,sat,653.9870203718355,semeval2012,roberta-large,average_no_mask,b
2,0.2916666666666667,0.337719298245614,0.3333333333333333,u2,653.9870203718355,semeval2012,roberta-large,average_no_mask,b
3,0.3541666666666667,0.3356481481481481,0.3375,u4,653.9870203718355,semeval2012,roberta-large,average_no_mask,b
4,0.54,0.582,0.5781818181818181,google,653.9870203718355,semeval2012,roberta-large,average_no_mask,b
5,0.4170854271356783,0.4413563090605892,0.4389389389389389,bats,331.4086357792722,semeval2012,roberta-large,average_no_mask,c
6,0.3513513513513513,0.3471810089020771,0.3475935828877005,sat,331.4086357792722,semeval2012,roberta-large,average_no_mask,c
7,0.2916666666666667,0.3333333333333333,0.3293650793650793,u2,331.4086357792722,semeval2012,roberta-large,average_no_mask,c
8,0.2708333333333333,0.3310185185185185,0.325,u4,331.4086357792722,semeval2012,roberta-large,average_no_mask,c
9,0.52,0.6,0.5927272727272728,google,331.4086357792722,semeval2012,roberta-large,average_no_mask,c
10,0.4170854271356783,0.4163424124513619,0.4164164164164164,bats,237.22929440268987,semeval2012,roberta-large,average_no_mask,d
11,0.2972972972972973,0.3204747774480712,0.3181818181818182,sat,237.22929440268987,semeval2012,roberta-large,average_no_mask,d
12,0.2083333333333333,0.3596491228070175,0.3452380952380952,u2,237.22929440268987,semeval2012,roberta-large,average_no_mask,d
13,0.3125,0.3425925925925926,0.3395833333333333,u4,237.22929440268987,semeval2012,roberta-large,average_no_mask,d
14,0.62,0.652,0.649090909090909,google,237.22929440268987,semeval2012,roberta-large,average_no_mask,d
15,0.3969849246231156,0.4163424124513619,0.4144144144144144,bats,243.6456932357595,semeval2012,roberta-large,average_no_mask,e
16,0.3243243243243243,0.3412462908011869,0.339572192513369,sat,243.6456932357595,semeval2012,roberta-large,average_no_mask,e
17,0.25,0.3464912280701754,0.3373015873015873,u2,243.6456932357595,semeval2012,roberta-large,average_no_mask,e
18,0.2291666666666666,0.3310185185185185,0.3208333333333333,u4,243.6456932357595,semeval2012,roberta-large,average_no_mask,e
19,0.5,0.542,0.5381818181818182,google,243.6456932357595,semeval2012,roberta-large,average_no_mask,e
20,0.321608040201005,0.3374096720400222,0.3358358358358358,bats,268.0268492879747,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_d832/prompt.json
21,0.2432432432432432,0.2937685459940652,0.2887700534759358,sat,268.0268492879747,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_d832/prompt.json
22,0.2083333333333333,0.2807017543859649,0.2738095238095238,u2,268.0268492879747,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_d832/prompt.json
23,0.25,0.2777777777777778,0.275,u4,268.0268492879747,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_d832/prompt.json
24,0.42,0.416,0.4163636363636364,google,268.0268492879747,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_d832/prompt.json
25,0.2914572864321608,0.3268482490272373,0.3233233233233233,bats,271.9647448575949,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_d922/prompt.json
26,0.3783783783783784,0.3204747774480712,0.3262032085561497,sat,271.9647448575949,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_d922/prompt.json
27,0.2916666666666667,0.2631578947368421,0.2658730158730158,u2,271.9647448575949,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_d922/prompt.json
28,0.2708333333333333,0.3194444444444444,0.3145833333333333,u4,271.9647448575949,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_d922/prompt.json
29,0.36,0.432,0.4254545454545455,google,271.9647448575949,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_d922/prompt.json
30,0.3366834170854271,0.386325736520289,0.3813813813813814,bats,232.05083069620247,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_d833/prompt.json
31,0.2972972972972973,0.2878338278931751,0.2887700534759358,sat,232.05083069620247,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_d833/prompt.json
32,0.2083333333333333,0.3026315789473684,0.2936507936507936,u2,232.05083069620247,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_d833/prompt.json
33,0.2708333333333333,0.3379629629629629,0.33125,u4,232.05083069620247,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_d833/prompt.json
34,0.56,0.438,0.4490909090909091,google,232.05083069620247,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_d833/prompt.json
35,0.3366834170854271,0.3279599777654252,0.3288288288288288,bats,243.80524376977849,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_d823/prompt.json
36,0.2432432432432432,0.3412462908011869,0.3315508021390374,sat,243.80524376977849,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_d823/prompt.json
37,0.25,0.3596491228070175,0.3492063492063492,u2,243.80524376977849,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_d823/prompt.json
38,0.3541666666666667,0.3287037037037037,0.33125,u4,243.80524376977849,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_d823/prompt.json
39,0.32,0.388,0.3818181818181818,google,243.80524376977849,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_d823/prompt.json
40,0.3819095477386934,0.3974430239021678,0.3958958958958959,bats,242.073007318038,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_d932/prompt.json
41,0.2972972972972973,0.3204747774480712,0.3181818181818182,sat,242.073007318038,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_d932/prompt.json
42,0.2916666666666667,0.3157894736842105,0.3134920634920635,u2,242.073007318038,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_d932/prompt.json
43,0.3333333333333333,0.3541666666666667,0.3520833333333333,u4,242.073007318038,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_d932/prompt.json
44,0.5,0.454,0.4581818181818182,google,242.073007318038,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_d932/prompt.json
45,0.2914572864321608,0.3285158421345192,0.3248248248248248,bats,243.3983262460443,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_d933/prompt.json
46,0.3243243243243243,0.2759643916913946,0.2807486631016043,sat,243.3983262460443,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_d933/prompt.json
47,0.2083333333333333,0.2982456140350877,0.2896825396825397,u2,243.3983262460443,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_d933/prompt.json
48,0.2708333333333333,0.3356481481481481,0.3291666666666666,u4,243.3983262460443,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_d933/prompt.json
49,0.28,0.35,0.3436363636363636,google,243.3983262460443,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_d933/prompt.json
50,0.3266331658291457,0.3324068927181767,0.3318318318318318,bats,239.5839472903481,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_d822/prompt.json
51,0.3513513513513513,0.3264094955489614,0.3288770053475935,sat,239.5839472903481,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_d822/prompt.json
52,0.25,0.337719298245614,0.3293650793650793,u2,239.5839472903481,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_d822/prompt.json
53,0.2708333333333333,0.3009259259259259,0.2979166666666666,u4,239.5839472903481,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_d822/prompt.json
54,0.32,0.386,0.38,google,239.5839472903481,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_d822/prompt.json
55,0.3115577889447236,0.3790994997220678,0.3723723723723723,bats,253.5917597903481,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_d923/prompt.json
56,0.2702702702702703,0.3086053412462908,0.3048128342245989,sat,253.5917597903481,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_d923/prompt.json
57,0.2916666666666667,0.2807017543859649,0.2817460317460317,u2,253.5917597903481,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_d923/prompt.json
