stem,answer,choice,prefix,prediction,accuracy
['conformance' 'breeding'],7,"[['natural selection', 'species'], ['natural selection', 'competition'], ['natural selection', 'adaptation'], ['natural selection', 'natural'], ['natural selection', 'fitness'], ['natural selection', 'mating'], ['natural selection', 'wild'], ['adaptation', 'mating'], ['species', 'competition'], ['species', 'adaptation'], ['species', 'natural'], ['species', 'fitness'], ['species', 'mating'], ['species', 'wild'], ['competition', 'adaptation'], ['competition', 'natural'], ['competition', 'fitness'], ['competition', 'mating'], ['competition', 'wild'], ['adaptation', 'natural'], ['adaptation', 'fitness'], ['adaptation', 'wild'], ['natural', 'fitness'], ['natural', 'mating'], ['natural', 'wild'], ['fitness', 'mating'], ['fitness', 'wild'], ['mating', 'wild']]",science,3,False
['water tower' 'filling'],0,"[['burner', 'heating'], ['heat transfer', 'transfers'], ['heat transfer', 'temperature'], ['heat transfer', 'burner'], ['heat transfer', 'kettle'], ['heat transfer', 'heating'], ['heat transfer', 'cooling'], ['heat transfer', 'thermodynamics'], ['transfers', 'temperature'], ['transfers', 'burner'], ['transfers', 'kettle'], ['transfers', 'heating'], ['transfers', 'cooling'], ['transfers', 'thermodynamics'], ['temperature', 'burner'], ['temperature', 'kettle'], ['temperature', 'heating'], ['temperature', 'cooling'], ['temperature', 'thermodynamics'], ['burner', 'kettle'], ['burner', 'cooling'], ['burner', 'thermodynamics'], ['kettle', 'heating'], ['kettle', 'cooling'], ['kettle', 'thermodynamics'], ['heating', 'cooling'], ['heating', 'thermodynamics'], ['cooling', 'thermodynamics']]",science,7,False
['projectile' 'air'],5,"[['planet', 'orbit'], ['planet', 'sun'], ['planet', 'elliptical'], ['planet', 'gravity'], ['planet', 'attracts'], ['planet', 'space'], ['orbit', 'sun'], ['orbit', 'elliptical'], ['orbit', 'space'], ['orbit', 'gravity'], ['orbit', 'attracts'], ['sun', 'elliptical'], ['sun', 'space'], ['sun', 'gravity'], ['sun', 'attracts'], ['elliptical', 'space'], ['elliptical', 'gravity'], ['elliptical', 'attracts'], ['space', 'gravity'], ['space', 'attracts'], ['gravity', 'attracts']]",science,18,False
['pressure' 'emptying'],1,"[['heat transfer', 'transfers'], ['temperature', 'cooling'], ['heat transfer', 'temperature'], ['heat transfer', 'burner'], ['heat transfer', 'kettle'], ['heat transfer', 'heating'], ['heat transfer', 'cooling'], ['heat transfer', 'thermodynamics'], ['transfers', 'temperature'], ['transfers', 'burner'], ['transfers', 'kettle'], ['transfers', 'heating'], ['transfers', 'cooling'], ['transfers', 'thermodynamics'], ['temperature', 'burner'], ['temperature', 'kettle'], ['temperature', 'heating'], ['temperature', 'thermodynamics'], ['burner', 'kettle'], ['burner', 'heating'], ['burner', 'cooling'], ['burner', 'thermodynamics'], ['kettle', 'heating'], ['kettle', 'cooling'], ['kettle', 'thermodynamics'], ['heating', 'cooling'], ['heating', 'thermodynamics'], ['cooling', 'thermodynamics']]",science,6,False
['write' 'turned off'],14,"[['mind', 'thinking'], ['mind', 'forgetting'], ['mind', 'memorize'], ['mind', 'remember'], ['mind', 'memory'], ['mind', 'muscles'], ['mind', 'senses'], ['mind', 'mistake'], ['mind', 'awake'], ['mind', 'asleep'], ['mind', 'confused'], ['mind', 'intelligence'], ['mind', 'therapy'], ['mind', 'brain'], ['memorize', 'asleep'], ['mind', 'function'], ['mind', 'consciousness'], ['mind', 'input'], ['thinking', 'forgetting'], ['thinking', 'memorize'], ['thinking', 'remember'], ['thinking', 'memory'], ['thinking', 'muscles'], ['thinking', 'senses'], ['thinking', 'mistake'], ['thinking', 'awake'], ['thinking', 'asleep'], ['thinking', 'confused'], ['thinking', 'intelligence'], ['thinking', 'therapy'], ['thinking', 'brain'], ['thinking', 'function'], ['thinking', 'consciousness'], ['thinking', 'input'], ['forgetting', 'memorize'], ['forgetting', 'remember'], ['forgetting', 'memory'], ['forgetting', 'muscles'], ['forgetting', 'senses'], ['forgetting', 'mistake'], ['forgetting', 'awake'], ['forgetting', 'asleep'], ['forgetting', 'confused'], ['forgetting', 'intelligence'], ['forgetting', 'therapy'], ['forgetting', 'brain'], ['forgetting', 'function'], ['forgetting', 'consciousness'], ['forgetting', 'input'], ['memorize', 'remember'], ['memorize', 'memory'], ['memorize', 'muscles'], ['memorize', 'senses'], ['memorize', 'mistake'], ['memorize', 'awake'], ['memorize', 'confused'], ['memorize', 'intelligence'], ['memorize', 'therapy'], ['memorize', 'brain'], ['memorize', 'function'], ['memorize', 'consciousness'], ['memorize', 'input'], ['remember', 'memory'], ['remember', 'muscles'], ['remember', 'senses'], ['remember', 'mistake'], ['remember', 'awake'], ['remember', 'asleep'], ['remember', 'confused'], ['remember', 'intelligence'], ['remember', 'therapy'], ['remember', 'brain'], ['remember', 'function'], ['remember', 'consciousness'], ['remember', 'input'], ['memory', 'muscles'], ['memory', 'senses'], ['memory', 'mistake'], ['memory', 'awake'], ['memory', 'asleep'], ['memory', 'confused'], ['memory', 'intelligence'], ['memory', 'therapy'], ['memory', 'brain'], ['memory', 'function'], ['memory', 'consciousness'], ['memory', 'input'], ['muscles', 'senses'], ['muscles', 'mistake'], ['muscles', 'awake'], ['muscles', 'asleep'], ['muscles', 'confused'], ['muscles', 'intelligence'], ['muscles', 'therapy'], ['muscles', 'brain'], ['muscles', 'function'], ['muscles', 'consciousness'], ['muscles', 'input'], ['senses', 'mistake'], ['senses', 'awake'], ['senses', 'asleep'], ['senses', 'confused'], ['senses', 'intelligence'], ['senses', 'therapy'], ['senses', 'brain'], ['senses', 'function'], ['senses', 'consciousness'], ['senses', 'input'], ['mistake', 'awake'], ['mistake', 'asleep'], ['mistake', 'confused'], ['mistake', 'intelligence'], ['mistake', 'therapy'], ['mistake', 'brain'], ['mistake', 'function'], ['mistake', 'consciousness'], ['mistake', 'input'], ['awake', 'asleep'], ['awake', 'confused'], ['awake', 'intelligence'], ['awake', 'therapy'], ['awake', 'brain'], ['awake', 'function'], ['awake', 'consciousness'], ['awake', 'input'], ['asleep', 'confused'], ['asleep', 'intelligence'], ['asleep', 'therapy'], ['asleep', 'brain'], ['asleep', 'function'], ['asleep', 'consciousness'], ['asleep', 'input'], ['confused', 'intelligence'], ['confused', 'therapy'], ['confused', 'brain'], ['confused', 'function'], ['confused', 'consciousness'], ['confused', 'input'], ['intelligence', 'therapy'], ['intelligence', 'brain'], ['intelligence', 'function'], ['intelligence', 'consciousness'], ['intelligence', 'input'], ['therapy', 'brain'], ['therapy', 'function'], ['therapy', 'consciousness'], ['therapy', 'input'], ['brain', 'function'], ['brain', 'consciousness'], ['brain', 'input'], ['function', 'consciousness'], ['function', 'input'], ['consciousness', 'input']]",science,49,False
['sun' 'attracts'],0,"[['nucleus', 'attracts'], ['atom', 'nucleus'], ['atom', 'electron'], ['atom', 'charge'], ['atom', 'attracts'], ['atom', 'revolves'], ['atom', 'electromagnetism'], ['nucleus', 'electron'], ['nucleus', 'charge'], ['nucleus', 'revolves'], ['nucleus', 'electromagnetism'], ['electron', 'charge'], ['electron', 'attracts'], ['electron', 'revolves'], ['electron', 'electromagnetism'], ['charge', 'attracts'], ['charge', 'revolves'], ['charge', 'electromagnetism'], ['attracts', 'revolves'], ['attracts', 'electromagnetism'], ['revolves', 'electromagnetism']]",science,6,False
['fuel' 'hot'],5,"[['respiration', 'animal'], ['respiration', 'food'], ['respiration', 'breathing'], ['respiration', 'living'], ['respiration', 'vigorous'], ['food', 'living'], ['respiration', 'oxygen'], ['respiration', 'carbon dioxide'], ['animal', 'food'], ['animal', 'breathing'], ['animal', 'living'], ['animal', 'vigorous'], ['animal', 'oxygen'], ['animal', 'carbon dioxide'], ['food', 'breathing'], ['food', 'vigorous'], ['food', 'oxygen'], ['food', 'carbon dioxide'], ['breathing', 'living'], ['breathing', 'vigorous'], ['breathing', 'oxygen'], ['breathing', 'carbon dioxide'], ['living', 'vigorous'], ['living', 'oxygen'], ['living', 'carbon dioxide'], ['vigorous', 'oxygen'], ['vigorous', 'carbon dioxide'], ['oxygen', 'carbon dioxide']]",science,27,False
['loud' 'horn'],1,"[['light', 'red'], ['bright', 'lens'], ['light', 'violet'], ['light', 'reflects'], ['light', 'bright'], ['light', 'dim'], ['light', 'lens'], ['red', 'violet'], ['red', 'reflects'], ['red', 'bright'], ['red', 'dim'], ['red', 'lens'], ['violet', 'reflects'], ['violet', 'bright'], ['violet', 'dim'], ['violet', 'lens'], ['reflects', 'bright'], ['reflects', 'dim'], ['reflects', 'lens'], ['bright', 'dim'], ['dim', 'lens']]",science,4,False
['erasing' 'CPU'],4,"[['mind', 'thinking'], ['mind', 'forgetting'], ['mind', 'memorize'], ['mind', 'remember'], ['forgetting', 'consciousness'], ['mind', 'memory'], ['mind', 'muscles'], ['mind', 'senses'], ['mind', 'mistake'], ['mind', 'awake'], ['mind', 'asleep'], ['mind', 'confused'], ['mind', 'intelligence'], ['mind', 'therapy'], ['mind', 'brain'], ['mind', 'function'], ['mind', 'consciousness'], ['mind', 'input'], ['thinking', 'forgetting'], ['thinking', 'memorize'], ['thinking', 'remember'], ['thinking', 'memory'], ['thinking', 'muscles'], ['thinking', 'senses'], ['thinking', 'mistake'], ['thinking', 'awake'], ['thinking', 'asleep'], ['thinking', 'confused'], ['thinking', 'intelligence'], ['thinking', 'therapy'], ['thinking', 'brain'], ['thinking', 'function'], ['thinking', 'consciousness'], ['thinking', 'input'], ['forgetting', 'memorize'], ['forgetting', 'remember'], ['forgetting', 'memory'], ['forgetting', 'muscles'], ['forgetting', 'senses'], ['forgetting', 'mistake'], ['forgetting', 'awake'], ['forgetting', 'asleep'], ['forgetting', 'confused'], ['forgetting', 'intelligence'], ['forgetting', 'therapy'], ['forgetting', 'brain'], ['forgetting', 'function'], ['forgetting', 'input'], ['memorize', 'remember'], ['memorize', 'memory'], ['memorize', 'muscles'], ['memorize', 'senses'], ['memorize', 'mistake'], ['memorize', 'awake'], ['memorize', 'asleep'], ['memorize', 'confused'], ['memorize', 'intelligence'], ['memorize', 'therapy'], ['memorize', 'brain'], ['memorize', 'function'], ['memorize', 'consciousness'], ['memorize', 'input'], ['remember', 'memory'], ['remember', 'muscles'], ['remember', 'senses'], ['remember', 'mistake'], ['remember', 'awake'], ['remember', 'asleep'], ['remember', 'confused'], ['remember', 'intelligence'], ['remember', 'therapy'], ['remember', 'brain'], ['remember', 'function'], ['remember', 'consciousness'], ['remember', 'input'], ['memory', 'muscles'], ['memory', 'senses'], ['memory', 'mistake'], ['memory', 'awake'], ['memory', 'asleep'], ['memory', 'confused'], ['memory', 'intelligence'], ['memory', 'therapy'], ['memory', 'brain'], ['memory', 'function'], ['memory', 'consciousness'], ['memory', 'input'], ['muscles', 'senses'], ['muscles', 'mistake'], ['muscles', 'awake'], ['muscles', 'asleep'], ['muscles', 'confused'], ['muscles', 'intelligence'], ['muscles', 'therapy'], ['muscles', 'brain'], ['muscles', 'function'], ['muscles', 'consciousness'], ['muscles', 'input'], ['senses', 'mistake'], ['senses', 'awake'], ['senses', 'asleep'], ['senses', 'confused'], ['senses', 'intelligence'], ['senses', 'therapy'], ['senses', 'brain'], ['senses', 'function'], ['senses', 'consciousness'], ['senses', 'input'], ['mistake', 'awake'], ['mistake', 'asleep'], ['mistake', 'confused'], ['mistake', 'intelligence'], ['mistake', 'therapy'], ['mistake', 'brain'], ['mistake', 'function'], ['mistake', 'consciousness'], ['mistake', 'input'], ['awake', 'asleep'], ['awake', 'confused'], ['awake', 'intelligence'], ['awake', 'therapy'], ['awake', 'brain'], ['awake', 'function'], ['awake', 'consciousness'], ['awake', 'input'], ['asleep', 'confused'], ['asleep', 'intelligence'], ['asleep', 'therapy'], ['asleep', 'brain'], ['asleep', 'function'], ['asleep', 'consciousness'], ['asleep', 'input'], ['confused', 'intelligence'], ['confused', 'therapy'], ['confused', 'brain'], ['confused', 'function'], ['confused', 'consciousness'], ['confused', 'input'], ['intelligence', 'therapy'], ['intelligence', 'brain'], ['intelligence', 'function'], ['intelligence', 'consciousness'], ['intelligence', 'input'], ['therapy', 'brain'], ['therapy', 'function'], ['therapy', 'consciousness'], ['therapy', 'input'], ['brain', 'function'], ['brain', 'consciousness'], ['brain', 'input'], ['function', 'consciousness'], ['function', 'input'], ['consciousness', 'input']]",science,36,False
['processing' 'repair'],3,"[['mind', 'thinking'], ['mind', 'forgetting'], ['mind', 'memorize'], ['thinking', 'therapy'], ['mind', 'remember'], ['mind', 'memory'], ['mind', 'muscles'], ['mind', 'senses'], ['mind', 'mistake'], ['mind', 'awake'], ['mind', 'asleep'], ['mind', 'confused'], ['mind', 'intelligence'], ['mind', 'therapy'], ['mind', 'brain'], ['mind', 'function'], ['mind', 'consciousness'], ['mind', 'input'], ['thinking', 'forgetting'], ['thinking', 'memorize'], ['thinking', 'remember'], ['thinking', 'memory'], ['thinking', 'muscles'], ['thinking', 'senses'], ['thinking', 'mistake'], ['thinking', 'awake'], ['thinking', 'asleep'], ['thinking', 'confused'], ['thinking', 'intelligence'], ['thinking', 'brain'], ['thinking', 'function'], ['thinking', 'consciousness'], ['thinking', 'input'], ['forgetting', 'memorize'], ['forgetting', 'remember'], ['forgetting', 'memory'], ['forgetting', 'muscles'], ['forgetting', 'senses'], ['forgetting', 'mistake'], ['forgetting', 'awake'], ['forgetting', 'asleep'], ['forgetting', 'confused'], ['forgetting', 'intelligence'], ['forgetting', 'therapy'], ['forgetting', 'brain'], ['forgetting', 'function'], ['forgetting', 'consciousness'], ['forgetting', 'input'], ['memorize', 'remember'], ['memorize', 'memory'], ['memorize', 'muscles'], ['memorize', 'senses'], ['memorize', 'mistake'], ['memorize', 'awake'], ['memorize', 'asleep'], ['memorize', 'confused'], ['memorize', 'intelligence'], ['memorize', 'therapy'], ['memorize', 'brain'], ['memorize', 'function'], ['memorize', 'consciousness'], ['memorize', 'input'], ['remember', 'memory'], ['remember', 'muscles'], ['remember', 'senses'], ['remember', 'mistake'], ['remember', 'awake'], ['remember', 'asleep'], ['remember', 'confused'], ['remember', 'intelligence'], ['remember', 'therapy'], ['remember', 'brain'], ['remember', 'function'], ['remember', 'consciousness'], ['remember', 'input'], ['memory', 'muscles'], ['memory', 'senses'], ['memory', 'mistake'], ['memory', 'awake'], ['memory', 'asleep'], ['memory', 'confused'], ['memory', 'intelligence'], ['memory', 'therapy'], ['memory', 'brain'], ['memory', 'function'], ['memory', 'consciousness'], ['memory', 'input'], ['muscles', 'senses'], ['muscles', 'mistake'], ['muscles', 'awake'], ['muscles', 'asleep'], ['muscles', 'confused'], ['muscles', 'intelligence'], ['muscles', 'therapy'], ['muscles', 'brain'], ['muscles', 'function'], ['muscles', 'consciousness'], ['muscles', 'input'], ['senses', 'mistake'], ['senses', 'awake'], ['senses', 'asleep'], ['senses', 'confused'], ['senses', 'intelligence'], ['senses', 'therapy'], ['senses', 'brain'], ['senses', 'function'], ['senses', 'consciousness'], ['senses', 'input'], ['mistake', 'awake'], ['mistake', 'asleep'], ['mistake', 'confused'], ['mistake', 'intelligence'], ['mistake', 'therapy'], ['mistake', 'brain'], ['mistake', 'function'], ['mistake', 'consciousness'], ['mistake', 'input'], ['awake', 'asleep'], ['awake', 'confused'], ['awake', 'intelligence'], ['awake', 'therapy'], ['awake', 'brain'], ['awake', 'function'], ['awake', 'consciousness'], ['awake', 'input'], ['asleep', 'confused'], ['asleep', 'intelligence'], ['asleep', 'therapy'], ['asleep', 'brain'], ['asleep', 'function'], ['asleep', 'consciousness'], ['asleep', 'input'], ['confused', 'intelligence'], ['confused', 'therapy'], ['confused', 'brain'], ['confused', 'function'], ['confused', 'consciousness'], ['confused', 'input'], ['intelligence', 'therapy'], ['intelligence', 'brain'], ['intelligence', 'function'], ['intelligence', 'consciousness'], ['intelligence', 'input'], ['therapy', 'brain'], ['therapy', 'function'], ['therapy', 'consciousness'], ['therapy', 'input'], ['brain', 'function'], ['brain', 'consciousness'], ['brain', 'input'], ['function', 'consciousness'], ['function', 'input'], ['consciousness', 'input']]",science,48,False
