accuracy,model,prefix,data
0.32608695652173914,google/flan-t5-xxl,0,sat_metaphor
0.5625,google/flan-t5-xxl,1,sat_metaphor
0.3333333333333333,google/flan-t5-xxl,2,sat_metaphor
0.345679012345679,google/flan-t5-xxl,,sat_metaphor
0.36795252225519287,google/flan-t5-xxl,,sat
0.3582887700534759,google/flan-t5-xxl,,sat_full
0.4605263157894737,google/flan-t5-xxl,,u2
0.39814814814814814,google/flan-t5-xxl,,u4
0.564,google/flan-t5-xxl,,google
0.45803224013340743,google/flan-t5-xxl,,bats
0.41304347826086957,google/flan-t5-xl,0,sat_metaphor
0.4375,google/flan-t5-xl,1,sat_metaphor
0.3333333333333333,google/flan-t5-xl,2,sat_metaphor
0.3765432098765432,google/flan-t5-xl,,sat_metaphor
0.33827893175074186,google/flan-t5-xl,,sat
0.339572192513369,google/flan-t5-xl,,sat_full
0.40350877192982454,google/flan-t5-xl,,u2
0.39351851851851855,google/flan-t5-xl,,u4
0.52,google/flan-t5-xl,,google
0.4324624791550862,google/flan-t5-xl,,bats
0.2717391304347826,google/flan-t5-large,0,sat_metaphor
0.4375,google/flan-t5-large,1,sat_metaphor
0.2222222222222222,google/flan-t5-large,2,sat_metaphor
0.25925925925925924,google/flan-t5-large,,sat_metaphor
0.2789317507418398,google/flan-t5-large,,sat
0.2727272727272727,google/flan-t5-large,,sat_full
0.3508771929824561,google/flan-t5-large,,u2
0.3402777777777778,google/flan-t5-large,,u4
0.37,google/flan-t5-large,,google
0.33073929961089493,google/flan-t5-large,,bats
0.30434782608695654,google/flan-t5-base,0,sat_metaphor
0.3125,google/flan-t5-base,1,sat_metaphor
0.28888888888888886,google/flan-t5-base,2,sat_metaphor
0.2839506172839506,google/flan-t5-base,,sat_metaphor
0.27596439169139464,google/flan-t5-base,,sat
0.27807486631016043,google/flan-t5-base,,sat_full
0.2807017543859649,google/flan-t5-base,,u2
0.2638888888888889,google/flan-t5-base,,u4
0.248,google/flan-t5-base,,google
0.20177876598110062,google/flan-t5-base,,bats
0.20652173913043478,google/flan-t5-small,0,sat_metaphor
0.1875,google/flan-t5-small,1,sat_metaphor
0.15555555555555556,google/flan-t5-small,2,sat_metaphor
0.17901234567901234,google/flan-t5-small,,sat_metaphor
0.20771513353115728,google/flan-t5-small,,sat
0.20320855614973263,google/flan-t5-small,,sat_full
0.30701754385964913,google/flan-t5-small,,u2
0.28703703703703703,google/flan-t5-small,,u4
0.256,google/flan-t5-small,,google
0.21678710394663703,google/flan-t5-small,,bats
0.2826086956521739,facebook/opt-iml-max-1.3b,0,sat_metaphor
0.0625,facebook/opt-iml-max-1.3b,1,sat_metaphor
0.26666666666666666,facebook/opt-iml-max-1.3b,2,sat_metaphor
0.24074074074074073,facebook/opt-iml-max-1.3b,,sat_metaphor
0.2522255192878338,facebook/opt-iml-max-1.3b,,sat
0.2647058823529412,facebook/opt-iml-max-1.3b,,sat_full
0.2807017543859649,facebook/opt-iml-max-1.3b,,u2
