model,accuracy
EleutherAI/gpt-j-6B,0.46814762788410197
EleutherAI/gpt-neo-1.3B,0.41633209497458096
EleutherAI/gpt-neo-125M,0.32129506257069784
EleutherAI/gpt-neo-2.7B,0.43068690999696785
EleutherAI/gpt-neox-20b,0.4831968045827622
facebook/opt-1.3b,0.4265530995923716
facebook/opt-125m,0.34174409825864727
facebook/opt-30b,0.4948782661342359
facebook/opt-350m,0.38136752486435754
facebook/opt-iml-1.3b,0.4236757202070199
facebook/opt-iml-30b,0.49770996291045944
facebook/opt-iml-max-1.3b,0.4307786510353733
facebook/opt-iml-max-30b,0.48318520600902104
google/flan-t5-base,0.37090484482758823
google/flan-t5-large,0.38359943610202113
google/flan-t5-small,0.3215547334216862
google/flan-t5-xl,0.4868508112280416
google/flan-t5-xxl,0.5225628942428882
gpt2,0.31403221724103464
gpt2-large,0.4008586590184524
gpt2-medium,0.3923631763820924
gpt2-xl,0.4130839745223923
relbert/flan-t5-base-analogy,0.4267297552439836
relbert/flan-t5-base-analogy-conceptnet,0.27882447129079396
relbert/flan-t5-base-analogy-nell,0.24725395823255075
relbert/flan-t5-base-analogy-permutation,0.41760686246457274
relbert/flan-t5-base-analogy-permutation-domain,0.4495362720396361
relbert/flan-t5-base-analogy-t-rex,0.4252963845216741
relbert/flan-t5-large-analogy,0.477576261131216
relbert/flan-t5-large-analogy-conceptnet,0.2715213873767476
relbert/flan-t5-large-analogy-nell,0.2533240106140755
relbert/flan-t5-large-analogy-permutation,0.4337666400216379
relbert/flan-t5-large-analogy-permutation-domain,0.48001157341432815
relbert/flan-t5-large-analogy-t-rex,0.4358649495910273
relbert/flan-t5-small-analogy,0.37493427740412894
relbert/flan-t5-small-analogy-conceptnet,0.25298026872064183
relbert/flan-t5-small-analogy-nell,0.2620066067473387
relbert/flan-t5-small-analogy-permutation,0.35205322176222653
relbert/flan-t5-small-analogy-permutation-domain,0.37094328541199023
relbert/flan-t5-small-analogy-t-rex,0.36339121498001087
relbert/flan-t5-xl-analogy,0.5123287924291409
relbert/flan-t5-xl-analogy-conceptnet,0.2933963184238497
relbert/flan-t5-xl-analogy-nell,0.23551910933050046
relbert/flan-t5-xl-analogy-permutation,0.4534870135763359
relbert/flan-t5-xl-analogy-permutation-domain,0.514409730299557
relbert/flan-t5-xl-analogy-t-rex,0.4756706321931485
relbert/opt-125m-analogy,0.16019973216827138
relbert/opt-125m-analogy-permutation,0.1612188774971891
relbert/opt-125m-analogy-permutation-domain,0.17316737394415094
relbert/opt-350m-analogy,0.16652131176113574
relbert/opt-350m-analogy-permutation,0.15557477048398605
relbert/opt-350m-analogy-permutation-domain,0.16846589966474362
relbert/t5-3b-analogy,0.5198171806119833
relbert/t5-base-analogy,0.4269721673918307
relbert/t5-large-analogy,0.4751988416050668
relbert/t5-small-analogy,0.34386727142703827
roberta-base,0.40609663072574287
roberta-large,0.488059810930554
t5-11b,0.4281473196783716
t5-3b,0.3097160702770879
t5-base,0.2839157554596045
t5-large,0.3148611901426225
t5-small,0.3104126086087798
