accuracy,model,prefix,data
0.36795252225519287,google/flan-t5-xxl,,sat
0.3582887700534759,google/flan-t5-xxl,,sat_full
0.4605263157894737,google/flan-t5-xxl,,u2
0.39814814814814814,google/flan-t5-xxl,,u4
0.564,google/flan-t5-xxl,,google
0.45803224013340743,google/flan-t5-xxl,,bats
0.33827893175074186,google/flan-t5-xl,,sat
0.339572192513369,google/flan-t5-xl,,sat_full
0.40350877192982454,google/flan-t5-xl,,u2
0.39351851851851855,google/flan-t5-xl,,u4
0.52,google/flan-t5-xl,,google
0.4324624791550862,google/flan-t5-xl,,bats
0.2789317507418398,google/flan-t5-large,,sat
0.2727272727272727,google/flan-t5-large,,sat_full
0.3508771929824561,google/flan-t5-large,,u2
0.3402777777777778,google/flan-t5-large,,u4
0.37,google/flan-t5-large,,google
0.33073929961089493,google/flan-t5-large,,bats
0.27596439169139464,google/flan-t5-base,,sat
0.27807486631016043,google/flan-t5-base,,sat_full
0.2807017543859649,google/flan-t5-base,,u2
0.2638888888888889,google/flan-t5-base,,u4
0.248,google/flan-t5-base,,google
0.20177876598110062,google/flan-t5-base,,bats
0.20771513353115728,google/flan-t5-small,,sat
0.20320855614973263,google/flan-t5-small,,sat_full
0.30701754385964913,google/flan-t5-small,,u2
0.28703703703703703,google/flan-t5-small,,u4
0.256,google/flan-t5-small,,google
0.21678710394663703,google/flan-t5-small,,bats
0.2522255192878338,facebook/opt-iml-max-1.3b,,sat
0.2647058823529412,facebook/opt-iml-max-1.3b,,sat_full
0.2807017543859649,facebook/opt-iml-max-1.3b,,u2
0.2708333333333333,facebook/opt-iml-max-1.3b,,u4
0.234,facebook/opt-iml-max-1.3b,,google
0.2873818788215675,facebook/opt-iml-max-1.3b,,bats
0.2403560830860534,facebook/opt-iml-1.3b,,sat
0.24598930481283424,facebook/opt-iml-1.3b,,sat_full
0.2412280701754386,facebook/opt-iml-1.3b,,u2
0.27314814814814814,facebook/opt-iml-1.3b,,u4
0.232,facebook/opt-iml-1.3b,,google
0.2951639799888827,facebook/opt-iml-1.3b,,bats
0.29673590504451036,facebook/opt-1.3b,,sat
0.2967914438502674,facebook/opt-1.3b,,sat_full
0.2850877192982456,facebook/opt-1.3b,,u2
0.2847222222222222,facebook/opt-1.3b,,u4
