accuracy,model,prefix,data
0.40217391304347827,EleutherAI/gpt-neox-20b,0,sat_metaphor
0.3125,EleutherAI/gpt-neox-20b,1,sat_metaphor
0.37777777777777777,EleutherAI/gpt-neox-20b,2,sat_metaphor
0.3950617283950617,EleutherAI/gpt-neox-20b,,sat_metaphor
0.42136498516320475,EleutherAI/gpt-neox-20b,,sat
0.42780748663101603,EleutherAI/gpt-neox-20b,,sat_full
0.4780701754385965,EleutherAI/gpt-neox-20b,,u2
0.5370370370370371,EleutherAI/gpt-neox-20b,,u4
0.864,EleutherAI/gpt-neox-20b,,google
0.7131739855475264,EleutherAI/gpt-neox-20b,,bats
0.31693989071038253,EleutherAI/gpt-neox-20b,,t_rex_relational_similarity
0.1568791946308725,EleutherAI/gpt-neox-20b,,conceptnet_relational_similarity
0.37166666666666665,EleutherAI/gpt-neox-20b,,nell_relational_similarity
0.4782608695652174,facebook/opt-30b,0,sat_metaphor
0.25,facebook/opt-30b,1,sat_metaphor
0.37777777777777777,facebook/opt-30b,2,sat_metaphor
0.4382716049382716,facebook/opt-30b,,sat_metaphor
0.4599406528189911,facebook/opt-30b,,sat
0.47058823529411764,facebook/opt-30b,,sat_full
0.5219298245614035,facebook/opt-30b,,u2
0.5185185185185185,facebook/opt-30b,,u4
0.882,facebook/opt-30b,,google
0.7153974430239022,facebook/opt-30b,,bats
0.20765027322404372,facebook/opt-30b,,t_rex_relational_similarity
0.1912751677852349,facebook/opt-30b,,conceptnet_relational_similarity
0.45166666666666666,facebook/opt-30b,,nell_relational_similarity
