model,accuracy
relbert/flan-t5-base-analogy,0.39066022248310095
relbert/flan-t5-base-analogy-conceptnet,0.2519006301462723
relbert/flan-t5-base-analogy-nell,0.22404422249934106
relbert/flan-t5-base-analogy-permutation,0.3807633056890812
relbert/flan-t5-base-analogy-permutation-domain,0.41168900748957754
relbert/flan-t5-base-analogy-t-rex,0.3895923858014441
relbert/flan-t5-large-analogy,0.4361321441078355
relbert/flan-t5-large-analogy-conceptnet,0.24527148624907819
relbert/flan-t5-large-analogy-nell,0.22868349898368867
relbert/flan-t5-large-analogy-permutation,0.39554009366059784
relbert/flan-t5-large-analogy-permutation-domain,0.43925946239689456
relbert/flan-t5-large-analogy-t-rex,0.39843661085759075
relbert/flan-t5-small-analogy,0.3437947152283127
relbert/flan-t5-small-analogy-conceptnet,0.2281029231312196
relbert/flan-t5-small-analogy-nell,0.23667638971600624
relbert/flan-t5-small-analogy-permutation,0.3220121047127382
relbert/flan-t5-small-analogy-permutation-domain,0.34107224929910684
relbert/flan-t5-small-analogy-t-rex,0.33415302717695133
relbert/flan-t5-xl-analogy,0.46647322803382374
relbert/flan-t5-xl-analogy-conceptnet,0.2656097087859962
relbert/flan-t5-xl-analogy-nell,0.2126506494378926
relbert/flan-t5-xl-analogy-permutation,0.4126567733439817
relbert/flan-t5-xl-analogy-permutation-domain,0.4704544137316195
relbert/flan-t5-xl-analogy-t-rex,0.43436949484275467
relbert/opt-125m-analogy,0.14528755070623023
relbert/opt-125m-analogy-permutation,0.14591843016251793
relbert/opt-125m-analogy-permutation-domain,0.15688310027158853
relbert/opt-350m-analogy,0.15104424631792923
relbert/opt-350m-analogy-permutation,0.1408326892750943
relbert/opt-350m-analogy-permutation-domain,0.1526352551475389
relbert/t5-3b-analogy,0.4747109812260534
relbert/t5-base-analogy,0.39128824120197936
relbert/t5-large-analogy,0.4339501254311265
relbert/t5-small-analogy,0.3185860894532969
