accuracy,model,prefix,data
0.27540106951871657,relbert/flan-t5-xl-analogy-conceptnet,,sat_full
0.37719298245614036,relbert/flan-t5-xl-analogy-conceptnet,,u2
0.3912037037037037,relbert/flan-t5-xl-analogy-conceptnet,,u4
0.46,relbert/flan-t5-xl-analogy-conceptnet,,google
0.4313507504168983,relbert/flan-t5-xl-analogy-conceptnet,,bats
0.060109289617486336,relbert/flan-t5-xl-analogy-conceptnet,,t_rex_relational_similarity
0.16191275167785235,relbert/flan-t5-xl-analogy-conceptnet,,conceptnet_relational_similarity
0.19,relbert/flan-t5-xl-analogy-conceptnet,,nell_relational_similarity
0.043316831683168314,relbert/flan-t5-xl-analogy-conceptnet,,scan
0.24331550802139038,relbert/flan-t5-large-analogy-conceptnet,,sat_full
0.37280701754385964,relbert/flan-t5-large-analogy-conceptnet,,u2
0.35185185185185186,relbert/flan-t5-large-analogy-conceptnet,,u4
0.424,relbert/flan-t5-large-analogy-conceptnet,,google
0.4085603112840467,relbert/flan-t5-large-analogy-conceptnet,,bats
0.06557377049180328,relbert/flan-t5-large-analogy-conceptnet,,t_rex_relational_similarity
0.1593959731543624,relbert/flan-t5-large-analogy-conceptnet,,conceptnet_relational_similarity
0.14666666666666667,relbert/flan-t5-large-analogy-conceptnet,,nell_relational_similarity
0.03527227722772277,relbert/flan-t5-large-analogy-conceptnet,,scan
0.25133689839572193,relbert/flan-t5-base-analogy-conceptnet,,sat_full
0.37719298245614036,relbert/flan-t5-base-analogy-conceptnet,,u2
0.3611111111111111,relbert/flan-t5-base-analogy-conceptnet,,u4
0.422,relbert/flan-t5-base-analogy-conceptnet,,google
0.4357976653696498,relbert/flan-t5-base-analogy-conceptnet,,bats
0.0546448087431694,relbert/flan-t5-base-analogy-conceptnet,,t_rex_relational_similarity
0.1518456375838926,relbert/flan-t5-base-analogy-conceptnet,,conceptnet_relational_similarity
0.17666666666666667,relbert/flan-t5-base-analogy-conceptnet,,nell_relational_similarity
0.03650990099009901,relbert/flan-t5-base-analogy-conceptnet,,scan
0.25133689839572193,relbert/flan-t5-small-analogy-conceptnet,,sat_full
0.40350877192982454,relbert/flan-t5-small-analogy-conceptnet,,u2
0.3425925925925926,relbert/flan-t5-small-analogy-conceptnet,,u4
0.348,relbert/flan-t5-small-analogy-conceptnet,,google
0.3752084491384102,relbert/flan-t5-small-analogy-conceptnet,,bats
0.03825136612021858,relbert/flan-t5-small-analogy-conceptnet,,t_rex_relational_similarity
0.11661073825503356,relbert/flan-t5-small-analogy-conceptnet,,conceptnet_relational_similarity
0.14833333333333334,relbert/flan-t5-small-analogy-conceptnet,,nell_relational_similarity
0.029084158415841586,relbert/flan-t5-small-analogy-conceptnet,,scan
0.4144385026737968,relbert/flan-t5-xl-analogy-t-rex,,sat_full
0.5394736842105263,relbert/flan-t5-xl-analogy-t-rex,,u2
0.5277777777777778,relbert/flan-t5-xl-analogy-t-rex,,u4
0.86,relbert/flan-t5-xl-analogy-t-rex,,google
0.7048360200111173,relbert/flan-t5-xl-analogy-t-rex,,bats
0.15846994535519127,relbert/flan-t5-xl-analogy-t-rex,,t_rex_relational_similarity
0.18036912751677853,relbert/flan-t5-xl-analogy-t-rex,,conceptnet_relational_similarity
