model,accuracy
EleutherAI/gpt-j-6B,0.29539269788123435
EleutherAI/gpt-neo-1.3B,0.2565553489329627
EleutherAI/gpt-neo-125M,0.2977921860950074
EleutherAI/gpt-neo-2.7B,0.2658312925738749
EleutherAI/gpt-neox-20b,0.28763865540539957
facebook/opt-1.3b,0.28359776456719876
facebook/opt-125m,0.27547192543586874
facebook/opt-30b,0.3005701632031022
facebook/opt-350m,0.3222200860443346
facebook/opt-iml-1.3b,0.25750590062506074
facebook/opt-iml-30b,0.28692521555628253
facebook/opt-iml-max-1.3b,0.2675245697787614
facebook/opt-iml-max-30b,0.3282618301129896
google/flan-t5-base,0.254488855113223
google/flan-t5-large,0.3329243086196803
google/flan-t5-small,0.25401004819861117
google/flan-t5-xl,0.41781239242335966
google/flan-t5-xxl,0.447799094824901
google/flan-ul2,0.42997299041349957
gpt2,0.28169079524506996
gpt2-large,0.2627483214852829
gpt2-medium,0.2812179460009904
gpt2-xl,0.26571902829929717
t5-11b,0.27400902579662983
t5-3b,0.283238994211428
t5-base,0.26312096463637946
t5-large,0.29224152676347204
t5-small,0.2678566814267312
