accuracy,model,prefix,data
0.5240641711229946,google/flan-t5-xxl,,sat_full
0.5570175438596491,google/flan-t5-xxl,,u2
0.5555555555555556,google/flan-t5-xxl,,u4
0.912,google/flan-t5-xxl,,google
0.7470817120622568,google/flan-t5-xxl,,bats
0.2677595628415301,google/flan-t5-xxl,,t_rex_relational_similarity
0.17869127516778524,google/flan-t5-xxl,,conceptnet_relational_similarity
0.43833333333333335,google/flan-t5-xxl,,nell_relational_similarity
0.16274752475247525,google/flan-t5-xxl,,scan
0.4197860962566845,google/flan-t5-xl,,sat_full
0.4956140350877193,google/flan-t5-xl,,u2
0.5069444444444444,google/flan-t5-xl,,u4
0.868,google/flan-t5-xl,,google
0.6681489716509171,google/flan-t5-xl,,bats
0.30601092896174864,google/flan-t5-xl,,t_rex_relational_similarity
0.17030201342281878,google/flan-t5-xl,,conceptnet_relational_similarity
0.46,google/flan-t5-xl,,nell_relational_similarity
0.17574257425742573,google/flan-t5-xl,,scan
0.3609625668449198,google/flan-t5-large,,sat_full
0.40789473684210525,google/flan-t5-large,,u2
0.4351851851851852,google/flan-t5-large,,u4
0.638,google/flan-t5-large,,google
0.5258476931628683,google/flan-t5-large,,bats
0.20765027322404372,google/flan-t5-large,,t_rex_relational_similarity
0.11325503355704698,google/flan-t5-large,,conceptnet_relational_similarity
0.38,google/flan-t5-large,,nell_relational_similarity
0.13366336633663367,google/flan-t5-large,,scan
0.3181818181818182,google/flan-t5-base,,sat_full
0.38596491228070173,google/flan-t5-base,,u2
0.4212962962962963,google/flan-t5-base,,u4
0.636,google/flan-t5-base,,google
0.5141745414118954,google/flan-t5-base,,bats
0.20765027322404372,google/flan-t5-base,,t_rex_relational_similarity
0.09563758389261745,google/flan-t5-base,,conceptnet_relational_similarity
0.3883333333333333,google/flan-t5-base,,nell_relational_similarity
0.1373762376237624,google/flan-t5-base,,scan
0.26737967914438504,google/flan-t5-small,,sat_full
0.36403508771929827,google/flan-t5-small,,u2
0.4166666666666667,google/flan-t5-small,,u4
0.49,google/flan-t5-small,,google
0.42690383546414673,google/flan-t5-small,,bats
0.16939890710382513,google/flan-t5-small,,t_rex_relational_similarity
0.08305369127516779,google/flan-t5-small,,conceptnet_relational_similarity
0.355,google/flan-t5-small,,nell_relational_similarity
0.11633663366336634,google/flan-t5-small,,scan
0.40641711229946526,facebook/opt-iml-max-1.3b,,sat_full
0.40789473684210525,facebook/opt-iml-max-1.3b,,u2
0.4398148148148148,facebook/opt-iml-max-1.3b,,u4
0.854,facebook/opt-iml-max-1.3b,,google
0.6409116175653141,facebook/opt-iml-max-1.3b,,bats
0.08196721311475409,facebook/opt-iml-max-1.3b,,t_rex_relational_similarity
0.15855704697986578,facebook/opt-iml-max-1.3b,,conceptnet_relational_similarity
0.45666666666666667,facebook/opt-iml-max-1.3b,,nell_relational_similarity
0.09034653465346534,facebook/opt-iml-max-1.3b,,scan
0.4144385026737968,facebook/opt-iml-1.3b,,sat_full
0.42543859649122806,facebook/opt-iml-1.3b,,u2
0.44907407407407407,facebook/opt-iml-1.3b,,u4
0.824,facebook/opt-iml-1.3b,,google
0.631461923290717,facebook/opt-iml-1.3b,,bats
0.07650273224043716,facebook/opt-iml-1.3b,,t_rex_relational_similarity
0.14848993288590603,facebook/opt-iml-1.3b,,conceptnet_relational_similarity
0.42,facebook/opt-iml-1.3b,,nell_relational_similarity
0.08106435643564357,facebook/opt-iml-1.3b,,scan
0.3850267379679144,facebook/opt-1.3b,,sat_full
0.40350877192982454,facebook/opt-1.3b,,u2
0.4351851851851852,facebook/opt-1.3b,,u4
0.834,facebook/opt-1.3b,,google
0.6281267370761534,facebook/opt-1.3b,,bats
0.11475409836065574,facebook/opt-1.3b,,t_rex_relational_similarity
0.14848993288590603,facebook/opt-1.3b,,conceptnet_relational_similarity
0.4633333333333333,facebook/opt-1.3b,,nell_relational_similarity
0.08849009900990099,facebook/opt-1.3b,,scan
0.339572192513369,facebook/opt-350m,,sat_full
0.3684210526315789,facebook/opt-350m,,u2
0.3912037037037037,facebook/opt-350m,,u4
0.742,facebook/opt-350m,,google
0.548082267926626,facebook/opt-350m,,bats
0.1092896174863388,facebook/opt-350m,,t_rex_relational_similarity
0.10570469798657718,facebook/opt-350m,,conceptnet_relational_similarity
0.44666666666666666,facebook/opt-350m,,nell_relational_similarity
0.0823019801980198,facebook/opt-350m,,scan
0.33689839572192515,facebook/opt-125m,,sat_full
0.37280701754385964,facebook/opt-125m,,u2
0.3541666666666667,facebook/opt-125m,,u4
0.6,facebook/opt-125m,,google
0.4613674263479711,facebook/opt-125m,,bats
0.10382513661202186,facebook/opt-125m,,t_rex_relational_similarity
0.10822147651006711,facebook/opt-125m,,conceptnet_relational_similarity
0.39666666666666667,facebook/opt-125m,,nell_relational_similarity
0.07054455445544554,facebook/opt-125m,,scan
0.35561497326203206,t5-11b,,sat_full
0.4298245614035088,t5-11b,,u2
0.47453703703703703,t5-11b,,u4
0.746,t5-11b,,google
0.5992217898832685,t5-11b,,bats
0.273224043715847,t5-11b,,t_rex_relational_similarity
0.13842281879194632,t5-11b,,conceptnet_relational_similarity
0.4083333333333333,t5-11b,,nell_relational_similarity
0.17945544554455445,t5-11b,,scan
0.34759358288770054,t5-3b,,sat_full
0.3508771929824561,t5-3b,,u2
0.3541666666666667,t5-3b,,u4
0.458,t5-3b,,google
0.4163424124513619,t5-3b,,bats
0.20765027322404372,t5-3b,,t_rex_relational_similarity
0.08976510067114093,t5-3b,,conceptnet_relational_similarity
0.25333333333333335,t5-3b,,nell_relational_similarity
0.1021039603960396,t5-3b,,scan
0.30213903743315507,t5-large,,sat_full
0.35526315789473684,t5-large,,u2
0.40046296296296297,t5-large,,u4
0.514,t5-large,,google
0.48916064480266813,t5-large,,bats
0.11475409836065574,t5-large,,t_rex_relational_similarity
0.09144295302013423,t5-large,,conceptnet_relational_similarity
0.25166666666666665,t5-large,,nell_relational_similarity
0.13675742574257427,t5-large,,scan
0.26737967914438504,t5-base,,sat_full
0.34649122807017546,t5-base,,u2
0.39814814814814814,t5-base,,u4
0.414,t5-base,,google
0.4296831573096164,t5-base,,bats
0.060109289617486336,t5-base,,t_rex_relational_similarity
0.07718120805369127,t5-base,,conceptnet_relational_similarity
0.2783333333333333,t5-base,,nell_relational_similarity
0.09900990099009901,t5-base,,scan
0.2887700534759358,t5-small,,sat_full
0.32894736842105265,t5-small,,u2
0.3055555555555556,t5-small,,u4
0.554,t5-small,,google
0.40967204002223456,t5-small,,bats
