template_id,a,b,c,d,e,a,b,c,d,e
model,roberta-large,roberta-large,roberta-large,roberta-large,roberta-large,roberta-large,roberta-large,roberta-large,roberta-large,roberta-large
loss_function,triplet,triplet,triplet,triplet,triplet,nce,nce,nce,nce,nce
sat_full/test.forward,0.56951871657754,0.5508021390374331,0.5775401069518716,0.6818181818181818,0.56951871657754,0.6684491978609626,0.5962566844919787,0.6497326203208557,0.732620320855615,0.6203208556149733
sat/test.forward,0.56973293768546,0.543026706231454,0.5845697329376854,0.6884272997032641,0.5786350148367952,0.655786350148368,0.5964391691394659,0.6528189910979229,0.7359050445103857,0.6261127596439169
u2/test.forward,0.6008771929824561,0.5307017543859649,0.6710526315789473,0.6798245614035088,0.618421052631579,0.6140350877192983,0.5526315789473685,0.6359649122807017,0.6754385964912281,0.6403508771929824
u4/test.forward,0.6111111111111112,0.5810185185185185,0.6643518518518519,0.6481481481481481,0.5949074074074074,0.6134259259259259,0.5717592592592593,0.6064814814814815,0.6296296296296297,0.6157407407407407
google/test.forward,0.908,0.844,0.92,0.922,0.902,0.948,0.902,0.934,0.952,0.934
bats/test.forward,0.7426347971095053,0.763757643135075,0.7915508615897721,0.7837687604224569,0.7476375764313508,0.7943301834352418,0.7759866592551418,0.8265703168426903,0.8093385214007782,0.7787659811006115
t_rex_relational_similarity/test.forward,0.8363095238095238,0.8169642857142857,0.7872023809523809,0.7872023809523809,0.8288690476190477,0.5901639344262295,0.5901639344262295,0.6120218579234973,0.644808743169399,0.5081967213114754
conceptnet_relational_similarity/test.forward,0.5567765567765568,0.5604395604395604,0.5934065934065934,0.6190476190476191,0.5531135531135531,0.4463087248322148,0.3850671140939597,0.43288590604026844,0.4748322147651007,0.3674496644295302
sat/validation.forward,0.5675675675675675,0.6216216216216216,0.5135135135135135,0.6216216216216216,0.4864864864864865,0.7837837837837838,0.5945945945945946,0.6216216216216216,0.7027027027027027,0.5675675675675675
u2/validation.forward,0.5416666666666666,0.6666666666666666,0.6666666666666666,0.625,0.5,0.5416666666666666,0.5416666666666666,0.5833333333333334,0.625,0.625
u4/validation.forward,0.4375,0.5208333333333334,0.5625,0.5416666666666666,0.5,0.5416666666666666,0.6041666666666666,0.625,0.5625,0.5833333333333334
google/validation.forward,0.82,0.84,0.9,0.88,0.9,1.0,0.96,0.96,1.0,1.0
bats/validation.forward,0.6884422110552764,0.7437185929648241,0.7688442211055276,0.7889447236180904,0.7236180904522613,0.8492462311557789,0.8140703517587939,0.8542713567839196,0.8542713567839196,0.8241206030150754
semeval2012_relational_similarity/validation.forward,0.6835443037974683,0.7341772151898734,0.6835443037974683,0.7468354430379747,0.6708860759493671,0.7341772151898734,0.7341772151898734,0.7088607594936709,0.7468354430379747,0.7341772151898734
t_rex_relational_similarity/validation.forward,0.6730769230769231,0.6794871794871795,0.6709401709401709,0.6666666666666666,0.6773504273504274,0.2620967741935484,0.2540322580645161,0.2762096774193548,0.29435483870967744,0.2399193548387097
conceptnet_relational_similarity/validation.forward,0.5684210526315789,0.45789473684210524,0.5385964912280702,0.5947368421052631,0.5578947368421052,0.39388489208633093,0.33363309352517984,0.36960431654676257,0.37859712230215825,0.3183453237410072
sat_full/test.reverse,0.56951871657754,0.5508021390374331,0.5775401069518716,0.6818181818181818,0.56951871657754,0.6684491978609626,0.5962566844919787,0.6497326203208557,0.732620320855615,0.6203208556149733
sat/test.reverse,0.56973293768546,0.543026706231454,0.5845697329376854,0.6884272997032641,0.5786350148367952,0.655786350148368,0.5964391691394659,0.6528189910979229,0.7359050445103857,0.6261127596439169
u2/test.reverse,0.6008771929824561,0.5307017543859649,0.6710526315789473,0.6798245614035088,0.618421052631579,0.6140350877192983,0.5526315789473685,0.6359649122807017,0.6754385964912281,0.6403508771929824
u4/test.reverse,0.6111111111111112,0.5810185185185185,0.6643518518518519,0.6481481481481481,0.5949074074074074,0.6134259259259259,0.5717592592592593,0.6064814814814815,0.6296296296296297,0.6157407407407407
google/test.reverse,0.908,0.844,0.92,0.922,0.902,0.948,0.902,0.934,0.952,0.934
bats/test.reverse,0.7426347971095053,0.763757643135075,0.7915508615897721,0.7837687604224569,0.7476375764313508,0.7943301834352418,0.7759866592551418,0.8265703168426903,0.8093385214007782,0.7787659811006115
t_rex_relational_similarity/test.reverse,0.8363095238095238,0.8169642857142857,0.7872023809523809,0.7872023809523809,0.8288690476190477,0.5901639344262295,0.5901639344262295,0.6120218579234973,0.644808743169399,0.5081967213114754
conceptnet_relational_similarity/test.reverse,0.5567765567765568,0.5604395604395604,0.5934065934065934,0.6190476190476191,0.5531135531135531,0.4463087248322148,0.3850671140939597,0.43288590604026844,0.4748322147651007,0.3674496644295302
sat/validation.reverse,0.5675675675675675,0.6216216216216216,0.5135135135135135,0.6216216216216216,0.4864864864864865,0.7837837837837838,0.5945945945945946,0.6216216216216216,0.7027027027027027,0.5675675675675675
u2/validation.reverse,0.5416666666666666,0.6666666666666666,0.6666666666666666,0.625,0.5,0.5416666666666666,0.5416666666666666,0.5833333333333334,0.625,0.625
