prompt,method,data,seed,level,loss,epoch,distance_function,sat/test,u2/test,u4/test,google/test,bats/test,sat_full,lexical_relation_classification/BLESS,lexical_relation_classification/CogALexV,lexical_relation_classification/EVALution,lexical_relation_classification/K&H+N,lexical_relation_classification/ROOT09,relation_mapping_accuracy
a,average,semeval2012-v6,0,,12.844083739133472,8,cosine_similarity,0.4688427299703264,0.47368421052631576,0.4675925925925926,0.872,0.69816564758199,0.4679144385026738,0.9126111194816935,0.8248826291079813,0.6505958829902492,0.9501982332892815,0.8827953619554998,0.8936507936507937
a,average,semeval2012-v6,0,-child,7.990737036813663,8,cosine_similarity,0.4688427299703264,0.47368421052631576,0.4675925925925926,0.872,0.69816564758199,0.4679144385026738,0.9049269248154287,0.8248826291079813,0.6592632719393283,0.9601446755234054,0.8787214039486054,0.8936507936507937
a,average,semeval2012-v6,0,-child-prototypical,5.341869217094058,6,cosine_similarity,0.456973293768546,0.4692982456140351,0.4976851851851852,0.862,0.7176209005002779,0.46524064171123,0.9046255838481242,0.8234741784037559,0.647887323943662,0.9543020101551088,0.8755875900971483,0.8746031746031746
a,average,semeval2012-v6,1,,12.91860823326536,5,cosine_similarity,0.49554896142433236,0.3991228070175439,0.4675925925925926,0.794,0.6203446359088383,0.4919786096256685,0.9013108332077746,0.821361502347418,0.6419284940411701,0.9540933435348126,0.8596051394547164,0.8468253968253968
a,average,semeval2012-v6,1,-child,8.28706635100932,5,cosine_similarity,0.49554896142433236,0.3991228070175439,0.4675925925925926,0.794,0.6203446359088383,0.4919786096256685,0.8946813319270754,0.8211267605633803,0.6338028169014085,0.9571537872991583,0.878094641178314,0.8468253968253968
a,average,semeval2012-v6,2,,13.809768995190245,5,cosine_similarity,0.42729970326409494,0.3684210526315789,0.4375,0.63,0.44580322401334077,0.4304812834224599,0.8832303751695043,0.8166666666666667,0.6240520043336945,0.9563886763580719,0.8602319022250078,0.8508333333333333
a,average,semeval2012-v6,2,-child,10.160268683976765,5,cosine_similarity,0.42729970326409494,0.3684210526315789,0.4375,0.63,0.44580322401334077,0.4304812834224599,0.8945306614434232,0.8164319248826291,0.6229685807150596,0.9565973429783682,0.8730805390159825,0.8508333333333333
b,average,semeval2012-v6,0,,13.310137691434566,8,cosine_similarity,0.4599406528189911,0.4166666666666667,0.4375,0.84,0.7326292384658143,0.4572192513368984,0.9058309477173422,0.826056338028169,0.6457204767063922,0.9559017875773805,0.8862425571921027,0.7995436507936508
b,average,semeval2012-v6,0,-child,8.501803084264827,8,cosine_similarity,0.4599406528189911,0.4166666666666667,0.4375,0.84,0.7326292384658143,0.4572192513368984,0.9056802772336899,0.8262910798122065,0.6240520043336945,0.9549280100159978,0.8849890316515199,0.7995436507936508
b,average,semeval2012-v6,1,,13.306663552959266,9,cosine_similarity,0.4599406528189911,0.4298245614035088,0.4375,0.748,0.5369649805447471,0.4572192513368984,0.8945306614434232,0.7887323943661971,0.6132177681473456,0.9580580093204424,0.8733939204011282,0.8926984126984127
