,distance_function,sat/test,u2/test,u4/test,google/test,bats/test,sat_full,loss,data,prompt,method,classification_loss,validation,loss_value,loss_name,loss_split,lexical_relation_classification/BLESS,lexical_relation_classification/CogALexV,lexical_relation_classification/EVALution,lexical_relation_classification/K&H+N,lexical_relation_classification/ROOT09,relation_mapping_accuracy
0,cosine_similarity,0.33827893175074186,0.3201754385964912,0.33564814814814814,0.542,0.3885491939966648,0.3342245989304813,nce,semeval2012,a,average,True,conceptnet,7.405521686260517,relbert/conceptnet_high_confidence,full,0.8865451258098539,0.8401408450704225,0.6749729144095341,0.9607706753842944,0.8994045753682232,0.7666666666666666
1,cosine_similarity,0.33827893175074186,0.3201754385964912,0.33564814814814814,0.542,0.3885491939966648,0.3342245989304813,nce,semeval2012,a,average,True,,6.767855285258776,relbert/semeval2012_relational_similarity,validation,0.8865451258098539,0.8401408450704225,0.6749729144095341,0.9607706753842944,0.8994045753682232,0.789047619047619
2,cosine_similarity,0.6795252225519288,0.6140350877192983,0.6319444444444444,0.936,0.7665369649805448,0.6818181818181818,nce,semeval2012,a,average,False,conceptnet,5.6045279533435135,relbert/conceptnet_high_confidence,full,0.9192406207623927,0.8577464788732394,0.6912242686890574,0.9531891215135285,0.8997179567533689,0.8663095238095238
3,cosine_similarity,0.6913946587537092,0.6535087719298246,0.6666666666666666,0.936,0.7776542523624236,0.6925133689839572,nce,semeval2012,a,average,False,,4.852863980143257,relbert/semeval2012_relational_similarity,validation,0.9153231881874341,0.8509389671361502,0.6771397616468039,0.9575015649996522,0.9025383892196804,0.8719047619047618
4,cosine_similarity,0.6201780415430267,0.5570175438596491,0.5972222222222222,0.892,0.7137298499166204,0.6149732620320856,nce,semeval2012,a,mask,True,conceptnet,5.762538128938431,relbert/conceptnet_high_confidence,full,0.9245140876902215,0.8748826291079812,0.6966413867822319,0.9568755651387633,0.9122532121591977,0.8409126984126984
5,cosine_similarity,0.6320474777448071,0.5789473684210527,0.5972222222222222,0.892,0.725958866036687,0.6229946524064172,nce,semeval2012,a,mask,True,,5.153610600514359,relbert/semeval2012_relational_similarity,validation,0.9287328612324846,0.8723004694835681,0.6966413867822319,0.9625095638867636,0.9113130680037606,0.755734126984127
6,cosine_similarity,0.6824925816023739,0.6228070175438597,0.6481481481481481,0.952,0.783212896053363,0.6764705882352942,nce,semeval2012,a,mask,False,conceptnet,5.504632784770085,relbert/conceptnet_high_confidence,full,0.9156245291547386,0.8779342723004695,0.7199349945828819,0.9597968978229116,0.9078658727671576,0.9188888888888889
7,cosine_similarity,0.7091988130563798,0.6622807017543859,0.6666666666666666,0.95,0.7537520844913841,0.7112299465240641,nce,semeval2012,a,mask,False,,4.949711531735538,relbert/semeval2012_relational_similarity,validation,0.9245140876902215,0.8809859154929578,0.7134344528710725,0.955484454336788,0.909746161078032,0.8680952380952381
8,cosine_similarity,0.33827893175074186,0.3201754385964912,0.3125,0.592,0.3968871595330739,0.3342245989304813,nce,semeval2012,a,average-no-mask,True,conceptnet,7.405117206084422,relbert/conceptnet_high_confidence,full,0.9022148561096881,0.8049295774647888,0.652762730227519,0.9603533421437018,0.8874960827326857,0.7367857142857143
9,cosine_similarity,0.33827893175074186,0.3201754385964912,0.3125,0.592,0.3968871595330739,0.3342245989304813,nce,semeval2012,a,average-no-mask,True,,6.769682616330265,relbert/semeval2012_relational_similarity,validation,0.9022148561096881,0.8049295774647888,0.652762730227519,0.9603533421437018,0.8874960827326857,0.7825793650793651
10,cosine_similarity,0.658753709198813,0.6008771929824561,0.6481481481481481,0.922,0.783212896053363,0.6657754010695187,nce,semeval2012,a,average-no-mask,False,conceptnet,5.61817208925883,relbert/conceptnet_high_confidence,full,0.9198433026970017,0.8568075117370892,0.685807150595883,0.9570842317590597,0.9059855844562832,0.9175
11,cosine_similarity,0.7062314540059347,0.6754385964912281,0.6921296296296297,0.936,0.782657031684269,0.7112299465240641,nce,semeval2012,a,average-no-mask,False,,4.856707855556788,relbert/semeval2012_relational_similarity,validation,0.9124604489980412,0.8607981220657277,0.6863488624052004,0.9499895666689852,0.9075524913820119,0.866547619047619
12,cosine_similarity,0.49258160237388726,0.44298245614035087,0.4930555555555556,0.686,0.5986659255141745,0.4732620320855615,nce,semeval2012,b,average,True,conceptnet,6.411333218598977,relbert/conceptnet_high_confidence,full,0.9085430164230828,0.8359154929577466,0.6581798483206934,0.9586840091813313,0.8824819805703541,0.8433333333333334
13,cosine_similarity,0.49258160237388726,0.44298245614035087,0.4930555555555556,0.686,0.5986659255141745,0.4732620320855615,nce,semeval2012,b,average,True,,5.544106065557244,relbert/semeval2012_relational_similarity,validation,0.9085430164230828,0.8359154929577466,0.6581798483206934,0.9586840091813313,0.8824819805703541,0.8162698412698413
14,cosine_similarity,0.629080118694362,0.5701754385964912,0.6134259259259259,0.92,0.7959977765425236,0.6283422459893048,nce,semeval2012,b,average,False,conceptnet,5.73495135246179,relbert/conceptnet_high_confidence,full,0.9172819044749133,0.8516431924882629,0.6738894907908992,0.9517284551714544,0.9000313381385145,0.888095238095238
15,cosine_similarity,0.6083086053412463,0.5833333333333334,0.5995370370370371,0.93,0.7854363535297387,0.6096256684491979,nce,semeval2012,b,average,False,,5.0396512157461615,relbert/semeval2012_relational_similarity,validation,0.9174325749585657,0.8603286384976526,0.6679306608884074,0.9611184530847882,0.9012848636790974,0.9023809523809524
16,cosine_similarity,0.5192878338278932,0.45614035087719296,0.5393518518518519,0.84,0.6653696498054474,0.5080213903743316,nce,semeval2012,b,mask,True,conceptnet,6.257289146765684,relbert/conceptnet_high_confidence,full,0.9132138014163026,0.8502347417840377,0.6852654387865655,0.9604228976838005,0.9022250078345346,0.856984126984127
17,cosine_similarity,0.5192878338278932,0.45614035087719296,0.5393518518518519,0.84,0.6653696498054474,0.5080213903743316,nce,semeval2012,b,mask,True,,5.276238800434584,relbert/semeval2012_relational_similarity,validation,0.9132138014163026,0.8502347417840377,0.6852654387865655,0.9604228976838005,0.9022250078345346,0.7908730158730158
